GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banking-system,com.wg.banking.controller,ClosedAccountsController,27,0,0,0,10,0,3,0,3,0
banking-system,com.wg.banking.controller,LoginController,88,0,12,0,29,0,10,0,3,0
banking-system,com.wg.banking.controller,NotificationController,225,0,10,0,67,0,13,0,8,0
banking-system,com.wg.banking.controller,BranchController,303,0,31,0,101,0,25,0,8,0
banking-system,com.wg.banking.controller,TransactionController,155,0,2,0,51,0,10,0,9,0
banking-system,com.wg.banking.controller,IssueController,113,0,2,0,40,0,8,0,7,0
banking-system,com.wg.banking.controller,AccountController,352,0,28,0,108,0,24,0,9,0
banking-system,com.wg.banking.controller,UserController,359,0,31,0,124,0,28,0,9,0
banking-system,com.wg.banking.model,Transaction.TransactionType,0,21,0,0,0,4,0,1,0,1
banking-system,com.wg.banking.model,Notification,68,83,8,8,12,23,11,12,3,12
banking-system,com.wg.banking.model,User.Role,0,21,0,0,0,2,0,1,0,1
banking-system,com.wg.banking.model,Account,78,100,8,10,13,27,11,15,3,14
banking-system,com.wg.banking.model,Notification.NotificationType,0,15,0,0,0,3,0,1,0,1
banking-system,com.wg.banking.model,NotificationDetails,22,12,0,0,7,5,5,2,5,2
banking-system,com.wg.banking.model,Issue.Status,0,15,0,0,0,3,0,1,0,1
banking-system,com.wg.banking.model,User,144,169,13,17,20,46,18,26,5,24
banking-system,com.wg.banking.model,Branch,78,97,9,9,13,27,12,14,3,14
banking-system,com.wg.banking.model,Issue,66,85,7,9,11,24,10,13,3,12
banking-system,com.wg.banking.model,AccountDetails,39,17,0,0,13,7,6,5,6,5
banking-system,com.wg.banking.model,Transaction,77,100,8,10,12,29,11,15,3,14
banking-system,com.wg.banking.model,ClosedAccounts,50,55,6,6,11,16,10,7,4,7
banking-system,com.wg.banking.model,User.Gender,0,21,0,0,0,2,0,1,0,1
banking-system,com.wg.banking,Main,5,0,0,0,3,0,2,0,2,0
banking-system,com.wg.banking.service,BranchService,100,108,6,8,35,30,6,12,2,9
banking-system,com.wg.banking.service,AccountDetailsService,0,145,0,18,0,38,0,16,0,7
banking-system,com.wg.banking.service,LoginService,100,0,4,0,22,0,5,0,3,0
banking-system,com.wg.banking.service,TransactionService,182,441,19,19,66,107,20,16,4,11
banking-system,com.wg.banking.service,ClosedAccountsService,0,71,0,2,0,26,0,6,0,5
banking-system,com.wg.banking.service,IssueService,34,135,0,4,12,39,1,13,1,11
banking-system,com.wg.banking.service,AccountService,68,90,4,4,25,31,5,9,2,8
banking-system,com.wg.banking.service,UserService,79,174,1,9,31,46,2,18,1,14
banking-system,com.wg.banking.service,NotificationService,68,246,4,8,24,62,7,16,3,14
banking-system,com.wg.banking.helper,MaskString,42,0,6,0,9,0,5,0,2,0
banking-system,com.wg.banking.helper,GetUserInput,53,0,4,0,19,0,5,0,3,0
banking-system,com.wg.banking.helper,ValidateInputs,167,0,54,0,30,0,38,0,11,0
banking-system,com.wg.banking.helper,SecureInput,26,0,2,0,8,0,3,0,2,0
banking-system,com.wg.banking.helper,AccountNumberGenerator,36,0,2,0,8,0,4,0,3,0
banking-system,com.wg.banking.helper,UniqueIdGenerator,3,7,0,0,1,2,1,1,1,1
banking-system,com.wg.banking.helper,PasswordUtil,28,0,4,0,6,0,7,0,5,0
banking-system,com.wg.banking.helper,InsufficientBalanceException,4,4,0,0,2,2,1,1,1,1
banking-system,com.wg.banking.helper,LoggingUtil,9,67,0,2,3,17,1,4,1,3
banking-system,com.wg.banking.helper,UnauthenticatedException,8,0,0,0,4,0,2,0,2,0
banking-system,com.wg.banking.dao.impl,UserDAOImpl,44,323,1,1,5,41,3,7,2,7
banking-system,com.wg.banking.dao.impl,AccountDetailsDAOImpl,33,0,0,0,8,0,3,0,3,0
banking-system,com.wg.banking.dao.impl,IssueDAOImpl,0,188,0,0,0,24,0,7,0,7
banking-system,com.wg.banking.dao.impl,BranchDAOImpl,0,234,0,0,0,28,0,8,0,8
banking-system,com.wg.banking.dao.impl,NotificationDAOImpl,0,135,0,0,0,20,0,6,0,6
banking-system,com.wg.banking.dao.impl,TransactionDAOImpl,102,152,2,2,10,27,2,6,0,6
banking-system,com.wg.banking.dao.impl,AccountDAOImpl,43,244,0,0,4,37,2,9,2,9
banking-system,com.wg.banking.dao,GenericDAO,8,63,1,5,4,18,1,6,0,4
banking-system,com.wg.banking.dao,DAO,56,0,4,0,17,0,4,0,2,0
banking-system,com.wg.banking.dao,LoginDAO,14,0,0,0,4,0,2,0,2,0
banking-system,com.wg.banking.dao,ClosedAccountsDAO,0,90,0,0,0,15,0,5,0,5
banking-system,com.wg.banking.presentation,BranchManagerMenu,711,0,95,0,256,0,87,0,17,0
banking-system,com.wg.banking.presentation,AdminMenu,1415,0,175,0,479,0,141,0,24,0
banking-system,com.wg.banking.presentation,Menu,12,0,0,0,7,0,4,0,4,0
banking-system,com.wg.banking.presentation,StartMenu,30,0,0,0,10,0,4,0,4,0
banking-system,com.wg.banking.presentation,CustomerMenu,430,0,39,0,134,0,34,0,8,0
banking-system,com.wg.banking.constants,NotificationConstants,7,0,0,0,2,0,1,0,1,0
banking-system,com.wg.banking.constants,AccountConstants,7,0,0,0,2,0,1,0,1,0
banking-system,com.wg.banking.constants,BranchConstants,7,0,0,0,2,0,1,0,1,0
banking-system,com.wg.banking.constants,IssueConstants,7,0,0,0,2,0,1,0,1,0
banking-system,com.wg.banking.constants,StringConstants,3,0,0,0,1,0,1,0,1,0
banking-system,com.wg.banking.constants,TransactionConstants,7,0,0,0,2,0,1,0,1,0
banking-system,com.wg.banking.constants,ClosedAccountsConstants,7,0,0,0,2,0,1,0,1,0
banking-system,com.wg.banking.constants,UserConstants,7,0,0,0,2,0,1,0,1,0
banking-system,com.wg.banking.helper.printer,IssuePrinter,148,0,8,0,35,0,7,0,3,0
banking-system,com.wg.banking.helper.printer,TransactionPrinter,177,0,12,0,36,0,9,0,3,0
banking-system,com.wg.banking.helper.printer,NotificationPrinter,145,0,8,0,35,0,8,0,4,0
banking-system,com.wg.banking.helper.printer,BranchPrinter,139,0,8,0,34,0,7,0,3,0
banking-system,com.wg.banking.helper.printer,NotificationDetailsPrinter,167,0,8,0,37,0,8,0,4,0
banking-system,com.wg.banking.helper.printer,UserPrinter,196,0,8,0,40,0,7,0,3,0
banking-system,com.wg.banking.helper.printer,AccountDetailsPrinter,146,0,8,0,34,0,7,0,3,0
banking-system,com.wg.banking.config,DatabaseConnection,3,16,0,0,1,6,1,1,1,1
